timestamp,profile,test,reading,value,unit,notes
"2026-09-09 16:06:06","Balanced","Profile","Chosen setup",1.0000,"1=yes 0=no","CHOSEN SETUP. Grip 12 sits just under what the steering curve asks for at every speed, so full lock is always right on the edge of gripping. Carry too much speed into a corner and the car runs wide, and it runs wide by the same amount every time, so a missed corner is readable and repeatable rather than random. Stopping distance is 14.2 m from top speed and the camera shows more than that, so no corner can arrive before the player could have seen it. Kept because it is the only one of the three where being fast and being safe are the same skill."
"2026-09-09 16:06:06","Balanced","Profile","Brake deceleration",22.0000,"m/s^2","Balanced"
"2026-09-09 16:06:06","Balanced","Profile","Camera look ahead",16.0000,"m","Balanced"
"2026-09-09 16:06:54","Balanced","Profile","Sideways grip",12.0000,"m/s^2","Balanced"
"2026-09-09 16:06:54","Balanced","Profile","Top speed",25.0000,"m/s","Balanced"
"2026-09-09 16:06:54","Balanced","Profile","Chosen setup",1.0000,"1=yes 0=no","CHOSEN SETUP. Grip 12 sits just under what the steering curve asks for at every speed, so full lock is always right on the edge of gripping. Carry too much speed into a corner and the car runs wide, and it runs wide by the same amount every time, so a missed corner is readable and repeatable rather than random. Stopping distance is 14.2 m from top speed and the camera shows more than that, so no corner can arrive before the player could have seen it. Kept because it is the only one of the three where being fast and being safe are the same skill."
"2026-09-09 16:06:54","Balanced","Profile","Brake deceleration",22.0000,"m/s^2","Balanced"
"2026-09-09 16:06:54","Balanced","Profile","Camera look ahead",16.0000,"m","Balanced"
"2026-09-09 16:07:35","Balanced","Profile","Sideways grip",12.0000,"m/s^2","Balanced"
"2026-09-09 16:07:35","Balanced","Profile","Top speed",25.0000,"m/s","Balanced"
"2026-09-09 16:07:35","Balanced","Profile","Chosen setup",1.0000,"1=yes 0=no","CHOSEN SETUP. Grip 12 sits just under what the steering curve asks for at every speed, so full lock is always right on the edge of gripping. Carry too much speed into a corner and the car runs wide, and it runs wide by the same amount every time, so a missed corner is readable and repeatable rather than random. Stopping distance is 14.2 m from top speed and the camera shows more than that, so no corner can arrive before the player could have seen it. Kept because it is the only one of the three where being fast and being safe are the same skill."
"2026-09-09 16:07:35","Balanced","Profile","Brake deceleration",22.0000,"m/s^2","Balanced"
"2026-09-09 16:07:35","Balanced","Profile","Camera look ahead",16.0000,"m","Balanced"
"2026-09-09 16:11:37","Balanced","Profile","Sideways grip",12.0000,"m/s^2","Balanced"
"2026-09-09 16:11:37","Balanced","Profile","Top speed",25.0000,"m/s","Balanced"
"2026-09-09 16:11:37","Balanced","Profile","Chosen setup",1.0000,"1=yes 0=no","CHOSEN SETUP. Grip 12 sits just under what the steering curve asks for at every speed, so full lock is always right on the edge of gripping. Carry too much speed into a corner and the car runs wide, and it runs wide by the same amount every time, so a missed corner is readable and repeatable rather than random. Stopping distance is 14.2 m from top speed and the camera shows more than that, so no corner can arrive before the player could have seen it. Kept because it is the only one of the three where being fast and being safe are the same skill."
"2026-09-09 16:11:37","Balanced","Profile","Brake deceleration",22.0000,"m/s^2","Balanced"
"2026-09-09 16:11:37","Balanced","Profile","Camera look ahead",16.0000,"m","Balanced"
"2026-09-09 20:52:29","Balanced","Profile","Sideways grip",12.0000,"m/s^2","Balanced"
"2026-09-09 20:52:29","Balanced","Profile","Top speed",25.0000,"m/s","Balanced"
"2026-09-09 20:52:29","Balanced","Profile","Chosen setup",1.0000,"1=yes 0=no","CHOSEN SETUP. Grip 12 sits just under what the steering curve asks for at every speed, so full lock is always right on the edge of gripping. Carry too much speed into a corner and the car runs wide, and it runs wide by the same amount every time, so a missed corner is readable and repeatable rather than random. Stopping distance is 14.2 m from top speed and the camera shows more than that, so no corner can arrive before the player could have seen it. Kept because it is the only one of the three where being fast and being safe are the same skill."
"2026-09-09 20:52:29","Balanced","Profile","Brake deceleration",22.0000,"m/s^2","Balanced"
"2026-09-09 20:52:29","Balanced","Profile","Camera look ahead",16.0000,"m","Balanced"
"2026-09-10 13:27:46","Balanced","Profile","Sideways grip",13.0000,"m/s^2","Balanced"
"2026-09-10 13:27:46","Balanced","Profile","Top speed",32.0000,"m/s","Balanced"
"2026-09-10 13:27:46","Balanced","Profile","Chosen setup",1.0000,"1=yes 0=no","CHOSEN SETUP. Grip 12 sits just under what the steering curve asks for at every speed, so full lock is always right on the edge of gripping. Carry too much speed into a corner and the car runs wide, and it runs wide by the same amount every time, so a missed corner is readable and repeatable rather than random. Stopping distance is 14.2 m from top speed and the camera shows more than that, so no corner can arrive before the player could have seen it. Kept because it is the only one of the three where being fast and being safe are the same skill."
"2026-09-10 13:27:46","Balanced","Profile","Brake deceleration",22.0000,"m/s^2","Balanced"
"2026-09-10 13:27:46","Balanced","Profile","Camera look ahead",16.0000,"m","Balanced"
"2026-09-10 13:32:31","Balanced","Profile","Sideways grip",13.0000,"m/s^2","Balanced"
"2026-09-10 13:32:31","Balanced","Profile","Top speed",32.0000,"m/s","Balanced"
"2026-09-10 13:32:31","Balanced","Profile","Chosen setup",1.0000,"1=yes 0=no","CHOSEN SETUP. Grip 13 is deliberately LESS than what full lock asks for above about 18 m/s, so the steering can over-drive the tyres and a corner taken too fast has a consequence. Below that speed the car grips and is precise, which is where the player learns what it does. Because accelerating and cornering share one grip budget, holding the throttle through a corner takes grip away from the driven rear axle and the back steps out; lifting off gives it back, so the throttle is a steering input as much as a speed input. The rear is given 84 per cent of the grip the front has, which is what makes it the end that goes rather than the car simply running wide. Stopping distance is 23.3 m from 32 m/s and the camera looks 28 m ahead, so no corner can arrive before the player could have seen it. Kept because being fast and being in control are the same skill here: the car is stable until it is pushed, predictable when it lets go, and catchable on counter-steer."
"2026-09-10 13:32:31","Balanced","Profile","Brake deceleration",22.0000,"m/s^2","Balanced"
"2026-09-10 13:32:31","Balanced","Profile","Camera look ahead",28.0000,"m","Balanced"
"2026-09-10 13:35:10","Balanced","Profile","Sideways grip",13.0000,"m/s^2","Balanced"
"2026-09-10 13:35:10","Balanced","Profile","Top speed",32.0000,"m/s","Balanced"
"2026-09-10 13:35:10","Balanced","Profile","Chosen setup",1.0000,"1=yes 0=no","CHOSEN SETUP. Grip 13 is deliberately LESS than what full lock asks for above about 18 m/s, so the steering can over-drive the tyres and a corner taken too fast has a consequence. Below that speed the car grips and is precise, which is where the player learns what it does. Because accelerating and cornering share one grip budget, holding the throttle through a corner takes grip away from the driven rear axle and the back steps out; lifting off gives it back, so the throttle is a steering input as much as a speed input. The rear is given 84 per cent of the grip the front has, which is what makes it the end that goes rather than the car simply running wide. Stopping distance is 23.3 m from 32 m/s and the camera looks 28 m ahead, so no corner can arrive before the player could have seen it. Kept because being fast and being in control are the same skill here: the car is stable until it is pushed, predictable when it lets go, and catchable on counter-steer."
"2026-09-10 13:35:10","Balanced","Profile","Brake deceleration",22.0000,"m/s^2","Balanced"
"2026-09-10 13:35:10","Balanced","Profile","Camera look ahead",28.0000,"m","Balanced"
"2026-09-10 13:35:32","Balanced","Turning circle","Turning circle width",22.0967,"m","widest span of one full lap at 9.8 m/s, textbook value 20.3 m"
"2026-09-10 13:35:32","Balanced","Turning circle","Turning radius",11.0484,"m",""
"2026-09-10 13:35:32","Balanced","Turning circle","Time for a full lap",7.0500,"s",""
"2026-09-10 13:35:32","Balanced","Turning circle","Limiting factor",0.0000,"0=steering 1=grip","steering lock runs out first: grip could hold 7.4 m but the steering curve only asks for 10.1 m, so the car is not sliding"
"2026-09-10 13:35:32","Balanced","Turning circle","Test speed held",9.8399,"m/s","asked for 10.0 m/s"
"2026-09-10 13:44:33","Balanced","Profile","Sideways grip",13.0000,"m/s^2","Balanced"
"2026-09-10 13:44:33","Balanced","Profile","Top speed",32.0000,"m/s","Balanced"
"2026-09-10 13:44:33","Balanced","Profile","Chosen setup",1.0000,"1=yes 0=no","CHOSEN SETUP. Grip 13 is deliberately LESS than what full lock asks for above about 18 m/s, so the steering can over-drive the tyres and a corner taken too fast has a consequence. Below that speed the car grips and is precise, which is where the player learns what it does. Because accelerating and cornering share one grip budget, holding the throttle through a corner takes grip away from the driven rear axle and the back steps out; lifting off gives it back, so the throttle is a steering input as much as a speed input. The rear is given 84 per cent of the grip the front has, which is what makes it the end that goes rather than the car simply running wide. Stopping distance is 23.3 m from 32 m/s and the camera looks 28 m ahead, so no corner can arrive before the player could have seen it. Kept because being fast and being in control are the same skill here: the car is stable until it is pushed, predictable when it lets go, and catchable on counter-steer."
"2026-09-10 13:44:33","Balanced","Profile","Brake deceleration",22.0000,"m/s^2","Balanced"
"2026-09-10 13:44:33","Balanced","Profile","Camera look ahead",28.0000,"m","Balanced"
"2026-09-10 13:45:19","Balanced","Profile","Sideways grip",13.0000,"m/s^2","Balanced"
"2026-09-10 13:45:19","Balanced","Profile","Top speed",32.0000,"m/s","Balanced"
"2026-09-10 13:45:19","Balanced","Profile","Chosen setup",1.0000,"1=yes 0=no","CHOSEN SETUP. Grip 13 is deliberately LESS than what full lock asks for above about 18 m/s, so the steering can over-drive the tyres and a corner taken too fast has a consequence. Below that speed the car grips and is precise, which is where the player learns what it does. Because accelerating and cornering share one grip budget, holding the throttle through a corner takes grip away from the driven rear axle and the back steps out; lifting off gives it back, so the throttle is a steering input as much as a speed input. The rear is given 84 per cent of the grip the front has, which is what makes it the end that goes rather than the car simply running wide. Stopping distance is 23.3 m from 32 m/s and the camera looks 28 m ahead, so no corner can arrive before the player could have seen it. Kept because being fast and being in control are the same skill here: the car is stable until it is pushed, predictable when it lets go, and catchable on counter-steer."
"2026-09-10 13:45:19","Balanced","Profile","Brake deceleration",22.0000,"m/s^2","Balanced"
"2026-09-10 13:45:19","Balanced","Profile","Camera look ahead",28.0000,"m","Balanced"
"2026-09-10 13:51:01","Balanced","Profile","Sideways grip",13.0000,"m/s^2","Balanced"
"2026-09-10 13:51:01","Balanced","Profile","Top speed",32.0000,"m/s","Balanced"
"2026-09-10 13:51:01","Balanced","Profile","Chosen setup",1.0000,"1=yes 0=no","CHOSEN SETUP. Grip 13 is deliberately LESS than what full lock asks for above about 18 m/s, so the steering can over-drive the tyres and a corner taken too fast has a consequence. Below that speed the car grips and is precise, which is where the player learns what it does. Because accelerating and cornering share one grip budget, holding the throttle through a corner takes grip away from the driven rear axle and the back steps out; lifting off gives it back, so the throttle is a steering input as much as a speed input. The rear is given 84 per cent of the grip the front has, which is what makes it the end that goes rather than the car simply running wide. Stopping distance is 23.3 m from 32 m/s and the camera looks 28 m ahead, so no corner can arrive before the player could have seen it. Kept because being fast and being in control are the same skill here: the car is stable until it is pushed, predictable when it lets go, and catchable on counter-steer."
"2026-09-10 13:51:01","Balanced","Profile","Brake deceleration",22.0000,"m/s^2","Balanced"
"2026-09-10 13:51:01","Balanced","Profile","Camera look ahead",28.0000,"m","Balanced"
"2026-09-12 09:45:30","Balanced","Profile","Sideways grip",13.0000,"m/s^2","Balanced"
"2026-09-12 09:45:30","Balanced","Profile","Top speed",32.0000,"m/s","Balanced"
"2026-09-12 09:45:30","Balanced","Profile","Chosen setup",1.0000,"1=yes 0=no","CHOSEN SETUP. Grip 13 is deliberately LESS than what full lock asks for above about 18 m/s, so the steering can over-drive the tyres and a corner taken too fast has a consequence. Below that speed the car grips and is precise, which is where the player learns what it does. Because accelerating and cornering share one grip budget, holding the throttle through a corner takes grip away from the driven rear axle and the back steps out; lifting off gives it back, so the throttle is a steering input as much as a speed input. The rear is given 84 per cent of the grip the front has, which is what makes it the end that goes rather than the car simply running wide. Stopping distance is 23.3 m from 32 m/s and the camera looks 28 m ahead, so no corner can arrive before the player could have seen it. Kept because being fast and being in control are the same skill here: the car is stable until it is pushed, predictable when it lets go, and catchable on counter-steer."
"2026-09-12 09:45:30","Balanced","Profile","Brake deceleration",22.0000,"m/s^2","Balanced"
"2026-09-12 09:45:30","Balanced","Profile","Camera look ahead",28.0000,"m","Balanced"
"2026-09-12 10:12:52","Balanced","Profile","Sideways grip",13.0000,"m/s^2","Balanced"
"2026-09-12 10:12:52","Balanced","Profile","Top speed",32.0000,"m/s","Balanced"
"2026-09-12 10:12:52","Balanced","Profile","Chosen setup",1.0000,"1=yes 0=no","CHOSEN SETUP. Grip 13 is deliberately LESS than what full lock asks for above about 18 m/s, so the steering can over-drive the tyres and a corner taken too fast has a consequence. Below that speed the car grips and is precise, which is where the player learns what it does. Because accelerating and cornering share one grip budget, holding the throttle through a corner takes grip away from the driven rear axle and the back steps out; lifting off gives it back, so the throttle is a steering input as much as a speed input. The rear is given 84 per cent of the grip the front has, which is what makes it the end that goes rather than the car simply running wide. Stopping distance is 23.3 m from 32 m/s and the camera looks 28 m ahead, so no corner can arrive before the player could have seen it. Kept because being fast and being in control are the same skill here: the car is stable until it is pushed, predictable when it lets go, and catchable on counter-steer."
"2026-09-12 10:12:52","Balanced","Profile","Brake deceleration",22.0000,"m/s^2","Balanced"
"2026-09-12 10:12:52","Balanced","Profile","Camera look ahead",28.0000,"m","Balanced"
"2026-09-14 10:38:44","Balanced","Profile","Sideways grip",13.0000,"m/s^2","Balanced"
"2026-09-14 10:38:44","Balanced","Profile","Top speed",32.0000,"m/s","Balanced"
"2026-09-14 10:38:44","Balanced","Profile","Chosen setup",1.0000,"1=yes 0=no","CHOSEN SETUP. Grip 13 is deliberately LESS than what full lock asks for above about 18 m/s, so the steering can over-drive the tyres and a corner taken too fast has a consequence. Below that speed the car grips and is precise, which is where the player learns what it does. Because accelerating and cornering share one grip budget, holding the throttle through a corner takes grip away from the driven rear axle and the back steps out; lifting off gives it back, so the throttle is a steering input as much as a speed input. The rear is given 84 per cent of the grip the front has, which is what makes it the end that goes rather than the car simply running wide. Stopping distance is 23.3 m from 32 m/s and the camera looks 28 m ahead, so no corner can arrive before the player could have seen it. Kept because being fast and being in control are the same skill here: the car is stable until it is pushed, predictable when it lets go, and catchable on counter-steer."
"2026-09-14 10:38:44","Balanced","Profile","Brake deceleration",22.0000,"m/s^2","Balanced"
"2026-09-14 10:38:44","Balanced","Profile","Camera look ahead",28.0000,"m","Balanced"
"2026-09-15 17:52:49","Balanced","Profile","Sideways grip",13.0000,"m/s^2","Balanced"
"2026-09-15 17:52:49","Balanced","Profile","Top speed",32.0000,"m/s","Balanced"
"2026-09-15 17:52:49","Balanced","Profile","Chosen setup",1.0000,"1=yes 0=no","CHOSEN SETUP. Grip 13 is deliberately LESS than what full lock asks for above about 18 m/s, so the steering can over-drive the tyres and a corner taken too fast has a consequence. Below that speed the car grips and is precise, which is where the player learns what it does. Because accelerating and cornering share one grip budget, holding the throttle through a corner takes grip away from the driven rear axle and the back steps out; lifting off gives it back, so the throttle is a steering input as much as a speed input. The rear is given 84 per cent of the grip the front has, which is what makes it the end that goes rather than the car simply running wide. Stopping distance is 23.3 m from 32 m/s and the camera looks 28 m ahead, so no corner can arrive before the player could have seen it. Kept because being fast and being in control are the same skill here: the car is stable until it is pushed, predictable when it lets go, and catchable on counter-steer."
"2026-09-15 17:52:49","Balanced","Profile","Brake deceleration",22.0000,"m/s^2","Balanced"
"2026-09-15 17:52:49","Balanced","Profile","Camera look ahead",28.0000,"m","Balanced"
"2026-09-16 15:35:07","Balanced","Profile","Sideways grip",13.0000,"m/s^2","Balanced"
"2026-09-16 15:35:07","Balanced","Profile","Top speed",32.0000,"m/s","Balanced"
"2026-09-16 15:35:07","Balanced","Profile","Chosen setup",1.0000,"1=yes 0=no","CHOSEN SETUP. Grip 13 is deliberately LESS than what full lock asks for above about 18 m/s, so the steering can over-drive the tyres and a corner taken too fast has a consequence. Below that speed the car grips and is precise, which is where the player learns what it does. Because accelerating and cornering share one grip budget, holding the throttle through a corner takes grip away from the driven rear axle and the back steps out; lifting off gives it back, so the throttle is a steering input as much as a speed input. The rear is given 84 per cent of the grip the front has, which is what makes it the end that goes rather than the car simply running wide. Stopping distance is 23.3 m from 32 m/s and the camera looks 28 m ahead, so no corner can arrive before the player could have seen it. Kept because being fast and being in control are the same skill here: the car is stable until it is pushed, predictable when it lets go, and catchable on counter-steer."
"2026-09-16 15:35:07","Balanced","Profile","Brake deceleration",22.0000,"m/s^2","Balanced"
"2026-09-16 15:35:07","Balanced","Profile","Camera look ahead",28.0000,"m","Balanced"
"2026-09-16 15:35:56","Balanced","Profile","Sideways grip",13.0000,"m/s^2","Balanced"
"2026-09-16 15:35:56","Balanced","Profile","Top speed",32.0000,"m/s","Balanced"
"2026-09-16 15:35:56","Balanced","Profile","Chosen setup",1.0000,"1=yes 0=no","CHOSEN SETUP. Grip 13 is deliberately LESS than what full lock asks for above about 18 m/s, so the steering can over-drive the tyres and a corner taken too fast has a consequence. Below that speed the car grips and is precise, which is where the player learns what it does. Because accelerating and cornering share one grip budget, holding the throttle through a corner takes grip away from the driven rear axle and the back steps out; lifting off gives it back, so the throttle is a steering input as much as a speed input. The rear is given 84 per cent of the grip the front has, which is what makes it the end that goes rather than the car simply running wide. Stopping distance is 23.3 m from 32 m/s and the camera looks 28 m ahead, so no corner can arrive before the player could have seen it. Kept because being fast and being in control are the same skill here: the car is stable until it is pushed, predictable when it lets go, and catchable on counter-steer."
"2026-09-16 15:35:56","Balanced","Profile","Brake deceleration",22.0000,"m/s^2","Balanced"
"2026-09-16 15:35:56","Balanced","Profile","Camera look ahead",28.0000,"m","Balanced"
"2026-09-17 13:08:43","Balanced","Profile","Sideways grip",13.0000,"m/s^2","Balanced"
"2026-09-17 13:08:43","Balanced","Profile","Top speed",32.0000,"m/s","Balanced"
"2026-09-17 13:08:43","Balanced","Profile","Chosen setup",1.0000,"1=yes 0=no","CHOSEN SETUP. Grip 13 is deliberately LESS than what full lock asks for above about 18 m/s, so the steering can over-drive the tyres and a corner taken too fast has a consequence. Below that speed the car grips and is precise, which is where the player learns what it does. Because accelerating and cornering share one grip budget, holding the throttle through a corner takes grip away from the driven rear axle and the back steps out; lifting off gives it back, so the throttle is a steering input as much as a speed input. The rear is given 84 per cent of the grip the front has, which is what makes it the end that goes rather than the car simply running wide. Stopping distance is 23.3 m from 32 m/s and the camera looks 28 m ahead, so no corner can arrive before the player could have seen it. Kept because being fast and being in control are the same skill here: the car is stable until it is pushed, predictable when it lets go, and catchable on counter-steer."
"2026-09-17 13:08:43","Balanced","Profile","Brake deceleration",22.0000,"m/s^2","Balanced"
"2026-09-17 13:08:43","Balanced","Profile","Camera look ahead",28.0000,"m","Balanced"
"2026-09-17 14:00:18","Balanced","Profile","Sideways grip",13.0000,"m/s^2","Balanced"
"2026-09-17 14:00:18","Balanced","Profile","Top speed",32.0000,"m/s","Balanced"
"2026-09-17 14:00:18","Balanced","Profile","Chosen setup",1.0000,"1=yes 0=no","CHOSEN SETUP. Grip 13 is deliberately LESS than what full lock asks for above about 18 m/s, so the steering can over-drive the tyres and a corner taken too fast has a consequence. Below that speed the car grips and is precise, which is where the player learns what it does. Because accelerating and cornering share one grip budget, holding the throttle through a corner takes grip away from the driven rear axle and the back steps out; lifting off gives it back, so the throttle is a steering input as much as a speed input. The rear is given 84 per cent of the grip the front has, which is what makes it the end that goes rather than the car simply running wide. Stopping distance is 23.3 m from 32 m/s and the camera looks 28 m ahead, so no corner can arrive before the player could have seen it. Kept because being fast and being in control are the same skill here: the car is stable until it is pushed, predictable when it lets go, and catchable on counter-steer."
"2026-09-17 14:00:18","Balanced","Profile","Brake deceleration",22.0000,"m/s^2","Balanced"
"2026-09-17 14:00:18","Balanced","Profile","Camera look ahead",28.0000,"m","Balanced"
"2026-09-17 14:01:49","Balanced","Profile","Sideways grip",13.0000,"m/s^2","Balanced"
"2026-09-17 14:01:49","Balanced","Profile","Top speed",32.0000,"m/s","Balanced"
"2026-09-17 14:01:49","Balanced","Profile","Chosen setup",1.0000,"1=yes 0=no","CHOSEN SETUP. Grip 13 is deliberately LESS than what full lock asks for above about 18 m/s, so the steering can over-drive the tyres and a corner taken too fast has a consequence. Below that speed the car grips and is precise, which is where the player learns what it does. Because accelerating and cornering share one grip budget, holding the throttle through a corner takes grip away from the driven rear axle and the back steps out; lifting off gives it back, so the throttle is a steering input as much as a speed input. The rear is given 84 per cent of the grip the front has, which is what makes it the end that goes rather than the car simply running wide. Stopping distance is 23.3 m from 32 m/s and the camera looks 28 m ahead, so no corner can arrive before the player could have seen it. Kept because being fast and being in control are the same skill here: the car is stable until it is pushed, predictable when it lets go, and catchable on counter-steer."
"2026-09-17 14:01:49","Balanced","Profile","Brake deceleration",22.0000,"m/s^2","Balanced"
"2026-09-17 14:01:49","Balanced","Profile","Camera look ahead",28.0000,"m","Balanced"
"2026-09-17 14:04:15","Balanced","Profile","Sideways grip",13.0000,"m/s^2","Balanced"
"2026-09-17 14:04:15","Balanced","Profile","Top speed",32.0000,"m/s","Balanced"
"2026-09-17 14:04:15","Balanced","Profile","Chosen setup",1.0000,"1=yes 0=no","CHOSEN SETUP. Grip 13 is deliberately LESS than what full lock asks for above about 18 m/s, so the steering can over-drive the tyres and a corner taken too fast has a consequence. Below that speed the car grips and is precise, which is where the player learns what it does. Because accelerating and cornering share one grip budget, holding the throttle through a corner takes grip away from the driven rear axle and the back steps out; lifting off gives it back, so the throttle is a steering input as much as a speed input. The rear is given 84 per cent of the grip the front has, which is what makes it the end that goes rather than the car simply running wide. Stopping distance is 23.3 m from 32 m/s and the camera looks 28 m ahead, so no corner can arrive before the player could have seen it. Kept because being fast and being in control are the same skill here: the car is stable until it is pushed, predictable when it lets go, and catchable on counter-steer."
"2026-09-17 14:04:15","Balanced","Profile","Brake deceleration",22.0000,"m/s^2","Balanced"
"2026-09-17 14:04:15","Balanced","Profile","Camera look ahead",28.0000,"m","Balanced"
"2026-09-17 14:05:19","Balanced","Profile","Sideways grip",13.0000,"m/s^2","Balanced"
"2026-09-17 14:05:19","Balanced","Profile","Top speed",32.0000,"m/s","Balanced"
"2026-09-17 14:05:19","Balanced","Profile","Chosen setup",1.0000,"1=yes 0=no","CHOSEN SETUP. Grip 13 is deliberately LESS than what full lock asks for above about 18 m/s, so the steering can over-drive the tyres and a corner taken too fast has a consequence. Below that speed the car grips and is precise, which is where the player learns what it does. Because accelerating and cornering share one grip budget, holding the throttle through a corner takes grip away from the driven rear axle and the back steps out; lifting off gives it back, so the throttle is a steering input as much as a speed input. The rear is given 84 per cent of the grip the front has, which is what makes it the end that goes rather than the car simply running wide. Stopping distance is 23.3 m from 32 m/s and the camera looks 28 m ahead, so no corner can arrive before the player could have seen it. Kept because being fast and being in control are the same skill here: the car is stable until it is pushed, predictable when it lets go, and catchable on counter-steer."
"2026-09-17 14:05:19","Balanced","Profile","Brake deceleration",22.0000,"m/s^2","Balanced"
"2026-09-17 14:05:19","Balanced","Profile","Camera look ahead",28.0000,"m","Balanced"
"2026-09-17 14:05:52","Balanced","Profile","Sideways grip",13.0000,"m/s^2","Balanced"
"2026-09-17 14:05:52","Balanced","Profile","Top speed",32.0000,"m/s","Balanced"
"2026-09-17 14:05:52","Balanced","Profile","Chosen setup",1.0000,"1=yes 0=no","CHOSEN SETUP. Grip 13 is deliberately LESS than what full lock asks for above about 18 m/s, so the steering can over-drive the tyres and a corner taken too fast has a consequence. Below that speed the car grips and is precise, which is where the player learns what it does. Because accelerating and cornering share one grip budget, holding the throttle through a corner takes grip away from the driven rear axle and the back steps out; lifting off gives it back, so the throttle is a steering input as much as a speed input. The rear is given 84 per cent of the grip the front has, which is what makes it the end that goes rather than the car simply running wide. Stopping distance is 23.3 m from 32 m/s and the camera looks 28 m ahead, so no corner can arrive before the player could have seen it. Kept because being fast and being in control are the same skill here: the car is stable until it is pushed, predictable when it lets go, and catchable on counter-steer."
"2026-09-17 14:05:52","Balanced","Profile","Brake deceleration",22.0000,"m/s^2","Balanced"
"2026-09-17 14:05:52","Balanced","Profile","Camera look ahead",28.0000,"m","Balanced"
"2026-09-17 14:24:42","Balanced","Profile","Sideways grip",13.0000,"m/s^2","Balanced"
"2026-09-17 14:24:42","Balanced","Profile","Top speed",32.0000,"m/s","Balanced"
